entity_id,text,label
uconn health animal care and use committee,UConn Health Animal Care and Use Committee,ORG
the,The,ORG
##rm,##rm,LOC
shandon,Shandon,LOC
pittsburgh,Pittsburgh,LOC
pa,PA,LOC
le,Le,ORG
cryost,Cryost,ORG
n,N,LOC
##ussloch,##ussloch,LOC
germany,Germany,LOC
pbs,PBS,ORG
universal blocking,Universal Blocking,MISC
re,Re,ORG
b,B,ORG
##iog,##ioG,ORG
##x,##x,ORG
fremont,Fremont,LOC
ca,CA,LOC
##rmo fisher scientific,##rmo Fisher Scientific,ORG
carlsbad,Carlsbad,LOC
a,A,ORG
cambridge,Cambridge,LOC
uk,UK,LOC
jackson,Jackson,ORG
laboratories,Laboratories,ORG
inc,Inc,ORG
technologies,Technologies,ORG
carl,Carl,ORG
